Bruksområde,Navn / Lenke,Beskrivelse
Transkribering,[Otter.AI](https://otter.ai/media-teams){target=_blank},Betalingstjeneste. Engelsk basert. Automatisk transkribering av telefonsamtaler
 ,[JOJO](https://apps.apple.com/us/app/jojo-transcribe/id1659864300?mt=12){target=_blank},Gratis transkribering av lydfiler basert på Open AI Whisper. Utviklet av norske VG for bruk på Mac. Best på østnorsk.
 ,[Sembly.AI](https://www.sembly.ai/){target=_blank},"Betalingstjeneste. Transkriberer fra opptak, lydfiler og video. Sannsynligvis god på engelsk"
 ,[Trint](https://trint.com/){target=_blank},"Betalingstjeneste. Lyd- og videotranskripsjon for videoer, pressekonferanser, intervjuer, etc. Dekker 30 språk."
Research / Brainstorming,[Perplexity](https://www.perplexity.ai/){target=_blank},"Gratis, men veldig mye bedre om du betaler abonnement. Mens ChatGPT ikke går lengre enn til 2021, legger Perpleixity seg på toppen av ChatGPT og bruker nettet for oppdatering. Gir klare kilder for alt. Du kan spørre på norsk, men får svar på engelsk"
Graving,[Google Pinpoint](https://journaliststudio.google.com/pinpoint){target=_blank},"Hjelper deg med å utføre avanserte nøkkelordsøk og analysere store samlinger av dokumenter med opptil 200 000 dokumenter per samling. Støtter PDF, bilder, lydfiler, e-postarkiver og mer. Pinpoint kan også transkribere lyd- og videofiler automatisk. Den kan også identifisere fellestrekk og organisere etter tema, plassering eller personer i store mengder filer."
 ,[New/s/leak](https://www.inf.uni-hamburg.de/en/inst/ab/lt/resources/demos/new-s-leak.html){target=_blank},"Lar brukere utforske store mengder tekstdata. Bruker språkteknologi og datavisualisering for å illustrere relasjoner mellom viktige enheter (mennesker, organisasjoner, steder) innenfor datasett"
Brainstorming / graving,[OpenAI GPT-3 og 4](https://chat.openai.com/){target=_blank},"Kan brukes til research, oversettelse, programmering, skriving – kort sagt en språkmodell som kan brukes til å generere menneskelignende tekst og integreres i en mengde applikasjoner."
 ,[Vicuna](https://lmsys.org/){target=_blank},"Frittstående open-source Chatbot i konkurranse med GPT-4. Kan virke som den lager tekster mer levende. Kan brukes til research og analyse, lage oppsummeringer. Selv sier de at de kan hjelpe journalister til å presentere nyheter på nye og mer effektive måter."
 ,[Clarifai](https://www.clarifai.com/){target=_blank},"Betalingstjeneste, men starter gratis. Clarifai kan behandle store volum av bilder, videoer, tekst og lyddata ved å bruke AI til å indeksere dataene etter hvert som de er lagt til. Dette gjør det mulig å merke og kommentere dataene ved hjelp av algoritmen."
